id,name,year,unemployment_rate,accidents
01001,"Autauga,AL",2017,3.9,120
01003,"Baldwin,AL",2017,4.1,6
01005,"Barbour,AL",2017,5.8,5.5
01007,"Bibb,AL",2017,4.4,8
01009,"Blount,AL",2017,4.0,8
01011,"Bullock,AL",2017,4.9,20
01013,"Butler,AL",2017,5.5,2
01015,"Calhoun,AL",2017,5.0,5.5
01017,"Chambers,AL",2017,4.1,2
01019,"Cherokee,AL",2017,4.1,5.5
01021,"Chilton,AL",2017,4.1,305
01023,"Choctaw,AL",2017,6.3,2
01025,"Clarke,AL",2017,8.5,5.5
01027,"Clay,AL",2017,4.3,5.5
01029,"Cleburne,AL",2017,4.5,5.5
01031,"Coffee,AL",2017,4.4,5.5
01033,"Colbert,AL",2017,5.2,23
01035,"Conecuh,AL",2017,6.1,34
01037,"Coosa,AL",2017,4.7,10
01039,"Covington,AL",2017,5.2,2
01041,"Crenshaw,AL",2017,4.5,6
01043,"Cullman,AL",2017,3.8,113
01045,"Dale,AL",2017,4.5,24
01047,"Dallas,AL",2017,7.5,5.5
01049,"DeKalb,AL",2017,4.5,1
01051,"Elmore,AL",2017,3.7,5.5
01053,"Escambia,AL",2017,5.0,5.5
01055,"Etowah,AL",2017,4.6,27
01057,"Fayette,AL",2017,4.7,5.5
01059,"Franklin,AL",2017,4.3,5.5
01061,"Geneva,AL",2017,4.3,9
01063,"Greene,AL",2017,7.6,5.5
01065,"Hale,AL",2017,6.0,1
01067,"Henry,AL",2017,4.9,5.5
01069,"Houston,AL",2017,4.4,5.5
01071,"Jackson,AL",2017,4.8,5.5
01073,"Jefferson,AL",2017,4.3,5.5
01075,"Lamar,AL",2017,4.2,5.5
01077,"Lauderdale,AL",2017,4.7,5.5
01079,"Lawrence,AL",2017,5.0,5.5
01081,"Lee,AL",2017,4.0,5.5
01083,"Limestone,AL",2017,4.0,242
01085,"Lowndes,AL",2017,8.3,5.5
01087,"Macon,AL",2017,5.8,5.5
01089,"Madison,AL",2017,3.9,7
01091,"Marengo,AL",2017,5.6,6
01093,"Marion,AL",2017,4.8,5.5
01095,"Marshall,AL",2017,3.9,2
01097,"Mobile,AL",2017,5.2,904
01099,"Monroe,AL",2017,6.7,5.5
01101,"Montgomery,AL",2017,4.4,5.5
01103,"Morgan,AL",2017,4.1,5.5
01105,"Perry,AL",2017,7.8,5.5
01107,"Pickens,AL",2017,5.4,1
01109,"Pike,AL",2017,4.9,3
01111,"Randolph,AL",2017,4.4,5.5
01113,"Russell,AL",2017,4.3,2
01115,"St. Clair,AL",2017,4.0,1
01117,"Shelby,AL",2017,3.2,5.5
01119,"Sumter,AL",2017,6.6,5.5
01121,"Talladega,AL",2017,5.0,73
01123,"Tallapoosa,AL",2017,4.2,21
01125,"Tuscaloosa,AL",2017,4.2,1159
01127,"Walker,AL",2017,5.1,4
01129,"Washington,AL",2017,6.8,5.5
01131,"Wilcox,AL",2017,11.5,2
01133,"Winston,AL",2017,5.1,5.5
